ID,Unnamed: 0,Name S,Gender,Age,Height,Weight,Season,Country,Sport,Event,Medal
62,158,Giovanni Abagnale,male,21Year,198,90,Summer,Peru,Rowing,Rowing Men's Coxless Pairs,Bronze
65,161,Patimat Abakarova,female,21Year,165,49,Summer,Peru,Taekwondo,Taekwondo Women's Flyweight,Bronze
73,175,Luc Abalo,Male,31Year,182,86,Summer,USA,Handball,Handball Men's Handball,Silver
250,450,Saeid Morad Abdevali,Male,26Year,170,80,Summer,USA,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Bronze
455,794,Denis Mikhaylovich Ablyazin,Male,24Year,161,62,Summer,USA,Gymnastics,Gymnastics Men's Team All-Around,Silver
455,796,Denis Mikhaylovich Ablyazin,Male,24Year,161,62,Summer,USA,Gymnastics,Gymnastics Men's Horse Vault,Silver
455,797,Denis Mikhaylovich Ablyazin,male,24Year,161,62,Summer,USA,Gymnastics,Gymnastics Men's Rings,Bronze
465,814,"Matthew ""Matt"" Abood",male,30Year,197,92,Summer,USA,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze
576,1029,"Alejandro ""lex"" Abrines Redondo",male,23Year,198,93,Summer,Iran,Basketball,Basketball Men's Basketball,Bronze
608,1080,Ahmad Abughaush,male,20Year,178,68,Summer,Iran,Taekwondo,Taekwondo Men's Featherweight,Gold
690,1228,Chantal Achterberg,Female,31Year,172,72,Summer,Iran,Rowing,Rowing Women's Quadruple Sculls,Silver
832,1495,Nicola Virginia Adams,Female,33Year,164,51,Summer,Iran,Boxing,Boxing Women's Flyweight,Gold
837,1514,Rachael Alexis Adams,female,26Year,188,81,Summer,Iran,Volleyball,Volleyball Women's Volleyball,Bronze
846,1529,Valerie Kasanita Adams-Vili (-Price),female,31Year,193,120,Summer,Iran,Athletics,Athletics Women's Shot Put,Silver
1017,1847,Nathan Ghar-Jun Adrian,male,27Year,198,100,Summer,Brazil,Swimming,Swimming Men's 50 metres Freestyle,Bronze
1017,1848,Nathan Ghar-Jun Adrian,male,27Year,198,100,Summer,Brazil,Swimming,Swimming Men's 100 metres Freestyle,Bronze
1017,1849,Nathan Ghar-Jun Adrian,male,27Year,198,100,Summer,Brazil,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
1017,1850,Nathan Ghar-Jun Adrian,male,27Year,198,100,Summer,Brazil,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
1561,2810,Mobolade Abimbola Ajomale,male,20Year,180,62,Summer,Brazil,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
1634,2926,Taha Akgl,male,25Year,192,125,Summer,Brazil,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",Gold
1647,2955,Murodzhon Kakharovich Akhmadaliyev,male,21Year,165,56,Summer,Brazil,Boxing,Boxing Men's Bantamweight,Bronze
1682,3020,Morolake Akinosun,Female,22Year,163,61,Summer,Brazil,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
1683,3022,Foluke Antinuke Akinradewo,female,28Year,191,79,Summer,Brazil,Volleyball,Volleyball Women's Volleyball,Bronze
2497,4383,Artur Aleksanyan,male,24Year,190,98,Summer,China,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Gold
2610,4589,Abdoul Razak Issoufou Alfaga,male,21Year,207,90,Summer,China,Taekwondo,Taekwondo Men's Heavyweight,Silver
2695,4727,Nia Sifaatihii Ali,female,27Year,170,65,Summer,China,Athletics,Athletics Women's 100 metres Hurdles,Silver
2769,4847,Kimia Alizadeh Zenoorin,female,18Year,185,57,Summer,China,Taekwondo,Taekwondo Women's Featherweight,Bronze
3077,5458,Ida Alstad,female,31Year,172,60,Summer,Chile,Handball,Handball Women's Handball,Bronze
3174,5612,Lzaro Jorge lvarez Estrada,male,25Year,173,60,Summer,Chile,Boxing,Boxing Men's Lightweight,Bronze
3537,6304,Marwa Al-Amri,female,27Year,160,58,Summer,Germany,Wrestling,"Wrestling Women's Lightweight, Freestyle",Bronze
132340,264454,Koji Yamamuro,male,27Year,159,58,Summer,Germany,Gymnastics,Gymnastics Men's Team All-Around,Gold
132415,264612,Yan Ni,female,29Year,192,74,Summer,Germany,Volleyball,Volleyball Women's Volleyball,Gold
132485,264749,Yang Fangxu,female,21Year,190,71,Summer,Germany,Volleyball,Volleyball Women's Volleyball,Gold
132603,265003,Elitsa Atanasova Yankova,female,21Year,151,48,Summer,Germany,Wrestling,"Wrestling Women's Flyweight, Freestyle",Bronze
132665,265108,Selim Yaar,male,26Year,179,86,Summer,France,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Silver
132729,265216,Hassan Aliazam Yazdanicharati,male,21Year,181,74,Summer,France,Wrestling,"Wrestling Men's Middleweight, Freestyle",Gold
132765,265290,Yuliya Andreyevna Yefimova,female,24Year,178,64,Summer,France,Swimming,Swimming Women's 100 metres Breaststroke,Silver
